effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),812.9633813388328,14.29153386733945,56.884263710608714,115.39032783089476,2.934324971093126e-86
fixed,NA,X_i,83.40681786196524,21.8461693322491,3.817915012626077,53.27021738160974,3.528426190382216e-4
ran_pars,subj_id,sd__(Intercept),94.45420922063968,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.18822743086036722,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,41.38509266370993,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),73.17563202600253,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.22978490007807,NA,NA,NA,NA
fixed,NA,(Intercept),798.6738000229572,15.383409837882848,51.91786531332998,116.99520407551064,1.2461999822836711e-82
fixed,NA,X_i,57.92724282644835,23.203139731251206,2.4965260519648083,51.57700806412457,0.01577598268046316
ran_pars,subj_id,sd__(Intercept),102.27676802695649,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.3800900013012481,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,31.95307739277586,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),78.77591918124214,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.13584060714234,NA,NA,NA,NA
fixed,NA,(Intercept),781.8927482341372,15.273384709150216,51.19315483264877,129.79496191944312,6.171877263130504e-88
fixed,NA,X_i,63.90305632900936,21.579582632629833,2.9612739697932566,54.28650771368866,0.004536874188040414
ran_pars,subj_id,sd__(Intercept),110.58172911710703,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.19636622734147918,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,46.58971698228021,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),71.7763402603572,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.4521484593056,NA,NA,NA,NA
fixed,NA,(Intercept),811.5933590644252,14.519091562980377,55.89835669428253,111.58002259152428,1.9704621353544867e-83
fixed,NA,X_i,45.73030283395013,22.5710940051002,2.0260561062577134,52.77319931284932,0.04782744300022338
ran_pars,subj_id,sd__(Intercept),93.45840708260968,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.1803062378965993,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,39.51855198127502,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.99376853708141,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.4771182450376,NA,NA,NA,NA
fixed,NA,(Intercept),823.6115544666185,15.936930885074434,51.67943316099609,105.5840631150956,8.694798551655583e-77
fixed,NA,X_i,1.7815096666750132,25.559704869102546,0.0696999310359238,53.078043664809705,0.9446944331999614
ran_pars,subj_id,sd__(Intercept),97.97141318314604,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.3054007953402885,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,46.14256266978768,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.58985656909991,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.5707208371551,NA,NA,NA,NA
fixed,NA,(Intercept),803.6939593202264,16.196513753631177,49.62141677804227,112.0725151343889,4.0818369508949813e-78
fixed,NA,X_i,96.29186600908247,25.152057956922437,3.828389159010374,52.290257939827406,3.4663499356427655e-4
ran_pars,subj_id,sd__(Intercept),104.01207878076113,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.39100948811864683,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,40.07279585196443,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),85.49576907578248,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.3915977597542,NA,NA,NA,NA
fixed,NA,(Intercept),781.6689387169736,15.488116478845525,50.46894758214258,111.35520076537624,1.4702326695761378e-78
fixed,NA,X_i,62.39048969724759,24.05737601493311,2.5934037718211664,52.09465216108165,0.012308649379194023
ran_pars,subj_id,sd__(Intercept),99.31420229093729,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.17313411371255075,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,37.0981988000985,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),81.524722012816,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,203.9980184966128,NA,NA,NA,NA
fixed,NA,(Intercept),801.5770559650332,15.396000631486968,52.06397915609956,124.70960658055776,1.8423758423745248e-86
fixed,NA,X_i,62.17390635622633,22.364739903360253,2.7799968443578833,52.84658492825484,0.0075139090478718975
ran_pars,subj_id,sd__(Intercept),107.71280593189309,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.11749912219386419,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,40.14497681502844,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.1149570061875,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.12885131391656,NA,NA,NA,NA
fixed,NA,(Intercept),798.0957474897504,15.324938352393625,52.07823543153729,120.24282691176934,2.388300971660797e-84
fixed,NA,X_i,54.82908270678215,22.811804132313835,2.4035399562770468,52.44818996818175,0.019806225237400443
ran_pars,subj_id,sd__(Intercept),104.1128498761738,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.446119399205851,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,38.13513619461567,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),76.95601386578058,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.17890759392546,NA,NA,NA,NA
fixed,NA,(Intercept),799.5454041018489,15.289861494654836,52.29252105268324,132.29448128613004,3.0708790057409057e-90
fixed,NA,X_i,22.020779329168956,21.08017152591562,1.044620500459257,53.650372788988314,0.30088243758033767
ran_pars,subj_id,sd__(Intercept),112.80037182591842,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.14336777674665832,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,42.67449920236191,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),70.1973023588258,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.84244438995108,NA,NA,NA,NA
fixed,NA,(Intercept),771.1064287170996,14.1466539556708,54.508043466207454,124.09113214015991,1.542951725513748e-88
fixed,NA,X_i,53.38100818489273,20.74801521897611,2.5728248037947514,55.161451282509866,0.012807179848791976
ran_pars,subj_id,sd__(Intercept),99.20792911483525,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.07369219896060744,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,48.63886401939837,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),68.4251487650877,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.81915345025476,NA,NA,NA,NA
fixed,NA,(Intercept),792.0277927419877,15.147682503330586,52.287060582887264,119.72438277845706,2.6773079598031405e-84
fixed,NA,X_i,34.86973932110533,22.749617611021787,1.532761557460709,53.84913401766987,0.1311891632384145
ran_pars,subj_id,sd__(Intercept),102.67817777871129,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,-0.0036267380763315097,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,46.312296681426005,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),76.12709187327117,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.46365628213888,NA,NA,NA,NA
fixed,NA,(Intercept),802.7685160806461,15.981430427206417,50.231330651981665,130.11226799835435,4.632068643682162e-87
fixed,NA,X_i,47.1624855250513,22.306306702885525,2.1143117125234543,51.45679051858154,0.03935365624877999
ran_pars,subj_id,sd__(Intercept),115.47742901551766,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.16595711293964105,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,30.57500483414234,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),75.55169340257251,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.6779411433656,NA,NA,NA,NA
fixed,NA,(Intercept),799.0777408548089,13.086912855862572,61.05930020744689,130.50516023964948,7.515675487523622e-98
fixed,NA,X_i,77.84990495322336,17.9901939699109,4.3273521721572035,54.27607976324507,6.525148212766303e-5
ran_pars,subj_id,sd__(Intercept),97.12167360835963,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.04634907085077267,NA,NA,NA,NA
ran_pars,subj_id,sd__X_i,39.85311288565005,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),58.73389087723354,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.34510905066935,NA,NA,NA,NA
fixed,NA,(Intercept),805.157008917394,14.2876595696419,56.353317000089625,109.50655217315766,1.0260825641327274e-82
fixed,NA,X_i,44.13985014500334,22.28874531607392,1.9803649563518098,51.532638617619305,0.05301312062667036
