effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),805.7907301612372,14.485137550005827,55.62879381569373,123.7703515762617,1.9711510962255845e-89
fixed,NA,cond,103.40647549015051,20.820792759358948,4.966500396276664,50.31330498824724,8.244330003136955e-6
ran_pars,subj_id,sd__(Intercept),101.10528846918747,NA,NA,NA,NA
ran_pars,subj_id,sd__cond,17.662802765309024,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cond,0.7693209748468434,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),70.56811658538315,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.99043364691727,NA,NA,NA,NA
fixed,NA,(Intercept),814.957249123515,14.64749501334715,55.63799464556269,121.51252964176697,2.632151208083177e-88
fixed,NA,cond,91.7109479204845,21.623364460611604,4.241289466657332,52.76810485700298,8.995763117642408e-5
ran_pars,subj_id,sd__(Intercept),100.66767513320917,NA,NA,NA,NA
ran_pars,subj_id,sd__cond,38.38317678534455,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cond,0.13501499630304276,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),72.50599348176607,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.83476022847407,NA,NA,NA,NA
fixed,NA,(Intercept),793.3684863952643,15.60547353463902,50.83911645707175,100.29847009165626,2.0580422066422625e-73
fixed,NA,cond,-9.267607361918921,25.450431438964937,-0.36414342853654325,52.01201287641088,0.7172271143075835
ran_pars,subj_id,sd__(Intercept),92.29613140129045,NA,NA,NA,NA
ran_pars,subj_id,sd__cond,37.8738410172995,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cond,0.37616160695111817,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.7156404028899,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.41163098193132,NA,NA,NA,NA
fixed,NA,(Intercept),827.5005552648641,15.000147296173786,55.1661619666856,114.49971106657071,2.549288015289684e-84
fixed,NA,cond,88.88045793644925,22.78538277818824,3.900766504635236,50.93969421113356,2.819245090469016e-4
ran_pars,subj_id,sd__(Intercept),98.42167682383307,NA,NA,NA,NA
ran_pars,subj_id,sd__cond,25.746944427466893,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cond,0.2472041774331799,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),77.3857888655577,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,204.5109758897692,NA,NA,NA,NA
fixed,NA,(Intercept),782.8207548531016,15.841312804866357,49.41640661325895,100.44213355481531,2.7017955016382837e-72
fixed,NA,cond,126.68805604940023,25.874689264022933,4.896215554771964,52.42291001071039,9.748053577318745e-6
ran_pars,subj_id,sd__(Intercept),93.77576993124958,NA,NA,NA,NA
ran_pars,subj_id,sd__cond,41.7930377350407,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cond,0.20688018943680428,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),87.9992327206108,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.630130824587,NA,NA,NA,NA
fixed,NA,(Intercept),813.549020294341,15.370933846564059,52.927754970215915,95.47071093047178,1.4851133531152318e-72
fixed,NA,cond,79.22822257715806,25.79582118493898,3.071358806883646,53.85148459680386,0.0033374564236428126
ran_pars,subj_id,sd__(Intercept),87.45885888526806,NA,NA,NA,NA
ran_pars,subj_id,sd__cond,51.3069598047874,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cond,0.18208347797096333,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),87.1078831048708,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.2426198402517,NA,NA,NA,NA
fixed,NA,(Intercept),795.7764126591329,16.141598665356465,49.29972731678986,106.6062551488706,3.324871627821899e-75
fixed,NA,cond,64.75208334398751,25.506549321205064,2.5386453701973464,50.91433995393338,0.014228407665895126
ran_pars,subj_id,sd__(Intercept),99.8906744009847,NA,NA,NA,NA
ran_pars,subj_id,sd__cond,27.39544062890755,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cond,0.38041679151048013,NA,NA,NA,NA
