effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),809.1228665522581,16.2746183216958,49.71685667574834,112.24495482656289,2.7503686367511555e-78
fixed,NA,cat,30.133754633248707,25.28638902249534,1.1916986093364712,51.9737892092962,0.23879277894379589
fixed,NA,exp,13.213378924747618,13.143906287069584,1.0052855396379674,106.19026725823868,0.31704462050808496
fixed,NA,cat:exp,-9.777371603796967,21.40110761946777,-0.4568628772700935,63.23794432805799,0.6493351078178549
ran_pars,subj_id,sd__(Intercept),105.5525386208644,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,50.59861668225926,NA,NA,NA,NA
ran_pars,subj_id,sd__exp,87.05611935271011,NA,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,83.73113762341342,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.4316632386878137,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,0.2809450650714406,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,0.272382833879606,NA,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,0.07521059214442379,NA,NA,NA,NA
ran_pars,subj_id,cor__cat.cat:exp,0.20653222274650349,NA,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,0.09683663129357997,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),86.44282642367422,NA,NA,NA,NA
ran_pars,item_id,sd__exp,63.62558558855286,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.340038282265329,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.06430519961714,NA,NA,NA,NA
fixed,NA,(Intercept),788.1847288857571,15.60906534203652,50.49531868914083,112.85745826353975,2.6281204274282732e-79
fixed,NA,cat,25.1630113451293,23.68249403016374,1.0625152618250369,48.055943899840656,0.29331225967422053
fixed,NA,exp,6.907080728764329,12.342474510320168,0.5596187962947762,99.68989458814069,0.5769947001437169
fixed,NA,cat:exp,28.09848182400323,21.004828720099425,1.337715351000026,65.78118155786198,0.18559586216844653
ran_pars,subj_id,sd__(Intercept),101.76524196628007,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,7.317232941034619,NA,NA,NA,NA
ran_pars,subj_id,sd__exp,78.37057504796608,NA,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,88.05339445077611,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,1,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,0.2948109605560286,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,0.306036782407752,NA,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,0.2948109605560286,NA,NA,NA,NA
ran_pars,subj_id,cor__cat.cat:exp,0.306036782407752,NA,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,-0.006574686155698952,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),82.4906110798548,NA,NA,NA,NA
ran_pars,item_id,sd__exp,61.22424989378499,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.4376125685953687,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,199.6811909224554,NA,NA,NA,NA
