effect,group,term,estimate,std.error,statistic,df,p.value,rep,warnings,nsubj,nitem,b0,b1,I0i_sd,S0s_sd,S1s_sd,scor,err_sd
fixed,NA,(Intercept),794.1684894713716,38.982975470103455,20.372187599697966,20.177305748721423,6.2654544024439495e-15,1,,10,10,800,100,100,80,40,0.2,200
fixed,NA,cat,116.95564837138741,62.898624284249884,1.8594309446712918,20.337004654242957,0.07749556907190652,1,,10,10,800,100,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),114.18336209922643,NA,NA,NA,NA,1,,10,10,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),82.85123115632669,NA,NA,NA,NA,1,,10,10,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,78.94795959922583,NA,NA,NA,NA,1,,10,10,800,100,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.31551728233124343,NA,NA,NA,NA,1,,10,10,800,100,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,190.4456442540117,NA,NA,NA,NA,1,,10,10,800,100,100,80,40,0.2,200
fixed,NA,(Intercept),751.5499165574917,26.59346909990501,28.26069489971792,18.69766094967438,8.44927847533243e-17,2,,10,15,800,100,100,80,40,0.2,200
fixed,NA,cat,130.6965289759814,40.97346252310311,3.189784824806726,28.00816209447286,0.003493499542334638,2,,10,15,800,100,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),86.68498930889405,NA,NA,NA,NA,2,,10,15,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),55.94489610396707,NA,NA,NA,NA,2,,10,15,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,31.922843873188032,NA,NA,NA,NA,2,,10,15,800,100,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.9999999821407805,NA,NA,NA,NA,2,,10,15,800,100,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,207.66791738961473,NA,NA,NA,NA,2,,10,15,800,100,100,80,40,0.2,200
fixed,NA,(Intercept),825.5901812841311,34.5955315641279,23.864069836700683,13.780619654227603,1.3217676288042585e-12,3,,10,20,800,100,100,80,40,0.2,200
fixed,NA,cat,129.54997057597387,34.43115029047765,3.7625803809349487,38.27646134621008,5.632130527683314e-4,3,,10,20,800,100,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),87.2743936398372,NA,NA,NA,NA,3,,10,20,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),95.36699890057724,NA,NA,NA,NA,3,,10,20,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,18.985964612893873,NA,NA,NA,NA,3,,10,20,800,100,100,80,40,0.2,200
