effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),798.5978519435587,15.239558102983695,52.40295332364029,135.5263783795245,7.627737260878888e-92
fixed,NA,cat,25.301098337558102,20.30812768315419,1.245860708200374,54.604529724481466,0.21813467127714753
ran_pars,subj_id,sd__(Intercept),115.93833198922387,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,45.947141669790504,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.30017017620070224,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),66.93869688253706,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.62502465289774,NA,NA,NA,NA
fixed,NA,(Intercept),802.5416587403116,14.865703832239843,53.98611917720354,122.39517334104819,3.2793254070352335e-87
fixed,NA,cat,39.63133471040687,21.720455267825212,1.8246088409165746,51.81776525710539,0.07382765645275478
ran_pars,subj_id,sd__(Intercept),102.79857232013534,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,32.43984305189097,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.09493628732687519,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),73.1218218136019,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,204.6664262955273,NA,NA,NA,NA
fixed,NA,(Intercept),812.2936296859693,12.678871185267274,64.06671523170348,111.67407846877654,6.75060375923566e-90
fixed,NA,cat,61.01955634061193,19.74614578188791,3.0902008429706784,54.50821129853614,0.0031473187040760367
ran_pars,subj_id,sd__(Intercept),82.47972454945048,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,43.60203387383377,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.16158097405769417,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),65.0720969713571,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.4640719688119,NA,NA,NA,NA
fixed,NA,(Intercept),803.5900682549654,15.467885513964747,51.95216033435641,114.94204653263513,1.1523276293592126e-81
