effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),-0.2790543567783174,0.15044489465776653,-1.854860927073085,0.06361608887967492
fixed,NA,X_i,-0.5522216533089404,0.2531985411845776,-2.1809827605064274,0.029184691614451672
ran_pars,subj_id,sd__(Intercept),0.9166478855850864,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.48677493391671384,NA,NA,NA
ran_pars,subj_id,sd__X_i,0.8484240630694556,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.8092943607437812,NA,NA,NA
fixed,NA,(Intercept),0.058349330107387465,0.18019801284784223,0.3238067345207473,0.7460843572641592
fixed,NA,X_i,-1.1113817712326362,0.3110502561159185,-3.5729974477772477,3.5291820209701645e-4
ran_pars,subj_id,sd__(Intercept),1.0620482428504974,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.43495512237683176,NA,NA,NA
ran_pars,subj_id,sd__X_i,1.0952690822738052,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.9963106328292758,NA,NA,NA
fixed,NA,(Intercept),0.2897887720443473,0.19892913064453013,1.4567437715403069,0.14518712227685276
fixed,NA,X_i,-0.5579545349781531,0.35419494756508,-1.5752752511401482,0.11519292401345298
ran_pars,subj_id,sd__(Intercept),1.0477579596178144,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.48190283120150296,NA,NA,NA
ran_pars,subj_id,sd__X_i,1.0539402091159416,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.1681357704870772,NA,NA,NA
fixed,NA,(Intercept),-0.18056432038500042,0.14355841980250234,-1.2577758980170457,0.20847281456319647
fixed,NA,X_i,-0.941327043555318,0.23271269167978442,-4.045018072544989,5.231908790052255e-5
ran_pars,subj_id,sd__(Intercept),0.9619777952790854,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.47005459777672876,NA,NA,NA
ran_pars,subj_id,sd__X_i,0.9354880680360328,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.7135152561910739,NA,NA,NA
fixed,NA,(Intercept),-0.021572147137987486,0.1882310054537968,-0.11460464276849748,0.9087584995632025
fixed,NA,X_i,-1.7504522772579376,0.32404046978401946,-5.401955744677987,6.591821517021169e-8
ran_pars,subj_id,sd__(Intercept),1.1158532566630763,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.44994296409565165,NA,NA,NA
ran_pars,subj_id,sd__X_i,1.1417198120158971,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.0357556328485624,NA,NA,NA
fixed,NA,(Intercept),0.09256767356463563,0.19454240533153064,0.47582260231071916,0.6342007659494275
fixed,NA,X_i,-0.9948632011268881,0.34385716882012535,-2.893245484863832,0.0038128316566379172
ran_pars,subj_id,sd__(Intercept),1.024404219855788,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.5040997107442479,NA,NA,NA
ran_pars,subj_id,sd__X_i,0.938505318850399,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.1408795599731847,NA,NA,NA
fixed,NA,(Intercept),-0.2812568897014096,0.1966452285476631,-1.4302756887550834,0.15263790948761125
fixed,NA,X_i,-0.8907708778532234,0.3494343118135254,-2.5491797678087798,0.010797662532245119
ran_pars,subj_id,sd__(Intercept),1.0791370724084515,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.6522970969372482,NA,NA,NA
ran_pars,subj_id,sd__X_i,1.1841191742762298,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.1327049845820347,NA,NA,NA
fixed,NA,(Intercept),-0.013096539605749073,0.1894666042028745,-0.06912320860369534,0.9448915474150642
fixed,NA,X_i,-0.49511025218608573,0.32722730427618835,-1.5130468812229674,0.13026775090983167
ran_pars,subj_id,sd__(Intercept),1.0508682968783938,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.5062400372134357,NA,NA,NA
ran_pars,subj_id,sd__X_i,0.8778071775944949,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.0866354513986556,NA,NA,NA
fixed,NA,(Intercept),-0.22479812321407963,0.19874928088927502,-1.1310638318199333,0.25802822590689345
fixed,NA,X_i,-0.908156529247558,0.3502592046385577,-2.5928127433073747,0.009519458624612195
ran_pars,subj_id,sd__(Intercept),1.064435367211626,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.6221023897545939,NA,NA,NA
ran_pars,subj_id,sd__X_i,0.9989285149152696,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.1575389812884453,NA,NA,NA
fixed,NA,(Intercept),0.008885731592084192,0.16593188956202648,0.05355047553268924,0.9572933146524119
fixed,NA,X_i,-0.41638201920765217,0.2869544212769083,-1.4510388700575116,0.14676903687750173
ran_pars,subj_id,sd__(Intercept),0.9941885859639187,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_i,0.5765737005647944,NA,NA,NA
ran_pars,subj_id,sd__X_i,1.0851144391434566,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.9075332582584981,NA,NA,NA
fixed,NA,(Intercept),-0.005273363002535106,0.1795565672415611,-0.029368811642744002,0.9765704467736235
