effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),0.21732034005398454,0.17139498788070684,1.26795038023657,0.20481567097825332
fixed,NA,cat,1.0376788867952822,0.30469757723356483,3.4056026838698923,6.601818126593178e-4
fixed,NA,exp,0.5935206350332867,0.16797818369123715,3.53331975611931,4.1037580790948545e-4
fixed,NA,cat:exp,0.6567098276756617,0.302566153931165,2.1704669182035006,0.029971492138493438
ran_pars,subj_id,sd__(Intercept),0.9496795088382322,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.055054119376822225,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,0.14690314122826476,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,-0.13545281616666,NA,NA,NA
ran_pars,subj_id,sd__cat,1.0678072335466215,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,0.16184541403933653,NA,NA,NA
ran_pars,subj_id,cor__cat.cat:exp,0.10241326481341458,NA,NA,NA
ran_pars,subj_id,sd__exp,0.9228697079628272,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,0.10142041107095451,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,1.1243607058868526,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.9912888265773989,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.0011690739005352643,NA,NA,NA
ran_pars,item_id,sd__exp,0.9195859838465033,NA,NA,NA
fixed,NA,(Intercept),0.14268342073160212,0.1760908152468964,0.8102831515178468,0.4177774565274075
fixed,NA,cat,1.0923723450287492,0.31665085704140306,3.449769109217722,5.610662038021264e-4
fixed,NA,exp,1.045888492907013,0.18217593347579703,5.74109034575615,9.406888435760368e-9
fixed,NA,cat:exp,0.5971766303202166,0.3143291233690399,1.8998450538708054,0.05745345645835881
ran_pars,subj_id,sd__(Intercept),0.8744590140733746,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.20244991439341947,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,0.10927178728598834,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,0.3079860129387357,NA,NA,NA
ran_pars,subj_id,sd__cat,0.8274965987494143,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,-0.0529436363392418,NA,NA,NA
ran_pars,subj_id,cor__cat.cat:exp,0.06759358175517494,NA,NA,NA
ran_pars,subj_id,sd__exp,1.085045781284894,NA,NA,NA
ran_pars,subj_id,cor__exp.cat:exp,0.19511893961982846,NA,NA,NA
ran_pars,subj_id,sd__cat:exp,1.1499072271521908,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.06350733701135,NA,NA,NA
ran_pars,item_id,cor__(Intercept).exp,0.37191733526160387,NA,NA,NA
ran_pars,item_id,sd__exp,0.9612352683538535,NA,NA,NA
fixed,NA,(Intercept),0.07569542413570281,0.19298206857611389,0.39224071279890876,0.6948803649623126
fixed,NA,cat,-0.20061594738781752,0.33575526828339997,-0.5975064767069692,0.5501692841406056
fixed,NA,exp,0.9610116398288409,0.19944111891210262,4.8185231063228064,1.446247789069924e-6
fixed,NA,cat:exp,-0.1326575382808087,0.3412380855601822,-0.38875361190423935,0.6974584190965729
ran_pars,subj_id,sd__(Intercept),1.0952798572921951,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.07184286202811667,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).exp,-0.1580190753219802,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat:exp,0.029134239519784246,NA,NA,NA
ran_pars,subj_id,sd__cat,1.0857425947857893,NA,NA,NA
ran_pars,subj_id,cor__cat.exp,-0.07525320631665798,NA,NA,NA
