effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),0.08707160472744951,0.1499281764320469,0.5807554443704827,0.5614052880563101
fixed,NA,X_e,0.6628030216698868,0.17353959728863796,3.8193186570986817,1.3382079753180017e-4
fixed,NA,X_c,0.6896682553936275,0.24083372757411411,2.863669729072267,0.0041876439319138365
fixed,NA,X_e:X_c,0.3611118260780354,0.2824823397917015,1.2783518656221629,0.20112538787464115
ran_pars,subj_id,sd__(Intercept),1.0560522234704526,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.04676996317988362,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.02133094232622884,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.07658469912593123,NA,NA,NA
ran_pars,subj_id,sd__X_e,1.1015702731182013,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,-0.0891438239070621,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.35330664513289317,NA,NA,NA
ran_pars,subj_id,sd__X_c,1.1283780720933294,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.07474195292396796,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,0.893583105280857,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.7297060832351527,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,-0.12047892184938362,NA,NA,NA
ran_pars,item_id,sd__X_e,0.8752162086102118,NA,NA,NA
fixed,NA,(Intercept),0.018103023980821163,0.21639772851974245,0.0836562569517433,0.9333297370712129
fixed,NA,X_e,1.1051826585843385,0.20564752899787206,5.374159679768262,7.694065200134907e-8
fixed,NA,X_c,1.0456763636954944,0.39993594727142157,2.614609591434983,0.008932949758961941
fixed,NA,X_e:X_c,0.05976175539819144,0.3661988527062397,0.16319481876184794,0.8703650455505682
ran_pars,subj_id,sd__(Intercept),0.9421189003257547,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.09867050462647245,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.02296550445482615,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.042890688473385716,NA,NA,NA
ran_pars,subj_id,sd__X_e,1.033724053830454,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,-0.04443696490079383,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.14190454679788056,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.9013390143091857,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.06881999442771145,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,0.8739061889580438,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1.362075368898889,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,-1.892416837128183e-4,NA,NA,NA
