effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),0.20053512973633567,0.24073807448662407,0.8330013030301854,0.40484399439641416
fixed,NA,X_e,0.510127717477993,0.2940258008944703,1.734976032464187,0.08274505053020577
fixed,NA,X_c,0.37924319361793124,0.39778647227466235,0.953383837940252,0.3403956271967525
fixed,NA,X_e:X_c,0.1550700049850351,0.4192254365896105,0.3698964601158892,0.7114596390961551
ran_pars,item_id,sd__(Intercept),1.212705109776139,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.011239059614548129,NA,NA,NA
ran_pars,item_id,sd__X_e,1.2258776375533618,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),0.8877078388301021,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.40376637091920536,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.19096231390544519,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.23063867088901693,NA,NA,NA
ran_pars,subj_id,sd__X_e,1.1921843859426084,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.13282148470167848,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.4599289877108037,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.972652172237496,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.5439122877648832,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,0.7682454934344702,NA,NA,NA
fixed,NA,(Intercept),-0.05518386207639438,0.19955416646811383,-0.27653575494356836,0.782136601411666
fixed,NA,X_e,0.5114250903561253,0.2395262158073219,2.1351528835053384,0.03274852410714926
fixed,NA,X_c,0.5136342631045127,0.3371354717814756,1.5235248322889023,0.12762745288953187
fixed,NA,X_e:X_c,-0.045845723490577736,0.3748537192640106,-0.12230297082443632,0.9026590792857522
ran_pars,item_id,sd__(Intercept),0.9893017666611968,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,-0.021971011232283413,NA,NA,NA
ran_pars,item_id,sd__X_e,0.9418129519423929,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),0.7397208406863771,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,-0.15222253014259998,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.07837843334026764,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.4476559505714688,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.9747349950898728,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,-0.10994896848476306,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.35582861240416574,NA,NA,NA
ran_pars,subj_id,sd__X_c,0.9053951239906448,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.010486864978126875,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,1.0621666946357409,NA,NA,NA
fixed,NA,(Intercept),-0.4011427603587632,0.21710060816123689,-1.8477274833833783,0.06464177603190982
fixed,NA,X_e,0.4893526786804668,0.22304199870117197,2.1939934251400497,0.028235882226646126
fixed,NA,X_c,0.7684395975483156,0.34855830847059754,2.2046228102267054,0.027480573757138582
fixed,NA,X_e:X_c,-0.11431213063611526,0.4126038701651017,-0.27705055357423997,0.781741288660059
ran_pars,item_id,sd__(Intercept),0.9753870670308196,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.11639469031443721,NA,NA,NA
ran_pars,item_id,sd__X_e,1.0678977665766463,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),0.8812962155404602,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,-0.18872414610409002,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,-0.3082297651272217,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.11456306291988168,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.7373154222023146,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,-0.2869269137126337,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,-0.5620930911841289,NA,NA,NA
ran_pars,subj_id,sd__X_c,1.048133159845508,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,0.37355244042852787,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,1.1502038165316006,NA,NA,NA
fixed,NA,(Intercept),0.14345105842754236,0.21514041094572459,0.6667787692556376,0.5049134558733412
fixed,NA,X_e,0.4485459077043105,0.21124122014407098,2.1233824885048134,0.033721813407773034
fixed,NA,X_c,-0.0733512586701352,0.3717698374842182,-0.19730287741067482,0.8435905277579492
fixed,NA,X_e:X_c,-0.4643760496075593,0.35290783875104215,-1.3158564322374038,0.18822223414958675
ran_pars,item_id,sd__(Intercept),1.010690583462373,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.19740202838106705,NA,NA,NA
ran_pars,item_id,sd__X_e,0.9003116632201853,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),0.8451148500708785,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,-0.0015611479126015578,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.00727634961200005,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,-0.36281453569502015,NA,NA,NA
ran_pars,subj_id,sd__X_e,0.7801233147591975,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.3554154545028284,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.5758469961184032,NA,NA,NA
ran_pars,subj_id,sd__X_c,1.2041187534059095,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.24141224031567982,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,0.9052765758106543,NA,NA,NA
fixed,NA,(Intercept),0.48053750021369784,0.21478790456931154,2.237265181096962,0.025269013480481384
fixed,NA,X_e,0.4194107041326892,0.2891875581613564,1.4503068762684215,0.1469729623933177
fixed,NA,X_c,-0.28400918570925315,0.3646547611175582,-0.778844035489485,0.4360715941991282
fixed,NA,X_e:X_c,-0.5603567940691621,0.43625937043422985,-1.2844578983172603,0.1989817857328327
ran_pars,item_id,sd__(Intercept),0.9540839033684285,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.020698289314367856,NA,NA,NA
ran_pars,item_id,sd__X_e,1.1005214362287254,NA,NA,NA
