effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),823.5158557606575,20.310838997872963,40.54563456718354,93.14797690490687,5.6057701087436235e-61
fixed,NA,X_e,0.4999636703665899,12.686997181954622,0.039407565336083965,61.69788340177721,0.9686926892082572
fixed,NA,X_c,33.698730712219195,30.118002978941995,1.1188899455179941,61.265126779224055,0.2675549415790119
fixed,NA,X_e:X_c,87.62750757514601,28.01567501303301,3.1278028294653377,71.08411933088536,0.0025527360600667128
ran_pars,item_id,sd__(Intercept),97.31535397182778,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.08722641519845262,NA,NA,NA,NA
ran_pars,item_id,sd__X_e,68.55689128402848,NA,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),103.74144991859892,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.6236770938235564,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.12523481270617207,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.31880819234332175,NA,NA,NA,NA
ran_pars,subj_id,sd__X_e,42.097239484681744,NA,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.20768715925856587,NA,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.5311334221630886,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c,76.7972833981843,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,0.28117584924088235,NA,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,118.91439404770124,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.47984532349355,NA,NA,NA,NA
fixed,NA,(Intercept),808.355736036929,16.824782141113914,48.045539565210106,90.39947295030292,3.7529699182117225e-66
fixed,NA,X_e,-19.495818964077998,9.311560887779406,-2.09372190109013,48.55970630280684,0.041529343975947146
fixed,NA,X_c,67.69286531616483,24.282270582824427,2.7877485791648335,61.79471005618693,0.007043242240455043
fixed,NA,X_e:X_c,62.113972021682144,20.829820366137508,2.9819734846422006,57.332828599651904,0.004199211227772831
ran_pars,item_id,sd__(Intercept),77.02931452225522,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.08174553604630923,NA,NA,NA,NA
ran_pars,item_id,sd__X_e,45.18987235980897,NA,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),88.40554685715864,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.26922660926309205,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.4675643562283915,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.02103260935597502,NA,NA,NA,NA
ran_pars,subj_id,sd__X_e,25.974968118996244,NA,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.1842422590750325,NA,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.28308539452338244,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c,64.25680722023161,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,-0.23342814524701017,NA,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,83.97519554037721,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.1488737019498,NA,NA,NA,NA
fixed,NA,(Intercept),795.3718305177149,19.514973848060063,40.7570021210549,86.83747443954574,2.1459792727828035e-58
fixed,NA,X_e,8.740306035046245,13.165070140084346,0.6639012129858844,63.853014229387895,0.5091437221296562
fixed,NA,X_c,-16.394983674423386,26.462253809231168,-0.6195611225187521,68.24051445027737,0.5376099632410767
fixed,NA,X_e:X_c,43.415546810253545,25.999140299680274,1.669883938846526,62.41122824420857,0.09995096640640093
ran_pars,item_id,sd__(Intercept),81.41566783438765,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,-0.08262004205192935,NA,NA,NA,NA
ran_pars,item_id,sd__X_e,70.05037675088609,NA,NA,NA,NA
ran_pars,subj_id,sd__(Intercept),109.58336587364417,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.1533870551149716,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.25251801851964667,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.34028263316877283,NA,NA,NA,NA
ran_pars,subj_id,sd__X_e,46.26183771854818,NA,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.039539160724816794,NA,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.08296271986441275,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c,82.94431433136346,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,0.10431731219944491,NA,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,87.71876067206983,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.16788247808213,NA,NA,NA,NA
fixed,NA,(Intercept),833.9139122747282,18.84004753003932,44.262834843972804,91.6666067305287,1.1667122048925267e-63
fixed,NA,X_e,1.9192038550734354,8.786213198057315,0.2184335631074583,48.028385408420874,0.828016831382951
fixed,NA,X_c,44.05684154719777,27.322312511969294,1.612485821904623,62.38026165833278,0.1119045704759084
fixed,NA,X_e:X_c,83.13585031458334,20.813772381247723,3.994271138925542,56.65971250445719,1.89145679987146e-4
