effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),800.1520312010771,10.824044905189528,73.92356907328134,238.64763132142974,1.774890900354849e-166
fixed,NA,X_e,-8.143875258984634,7.000678457746131,-1.1632980014920662,137.371432463037,0.24672530227557052
fixed,NA,X_c,56.143812618290205,10.028565572437712,5.598389142769792,192.69299139929353,7.368755336570842e-8
fixed,NA,X_e:X_c,82.39589560789746,10.032571144314398,8.212839403046985,144.45383938260895,1.1076255072625297e-13
ran_pars,subj_id,sd__(Intercept),102.19878574854683,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e,0.31318827449875714,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_c,0.34871622889073606,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).X_e:X_c,0.11156080618878045,NA,NA,NA,NA
ran_pars,subj_id,sd__X_e,45.25860205339935,NA,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_c,0.2823068424164505,NA,NA,NA,NA
ran_pars,subj_id,cor__X_e.X_e:X_c,0.11842738071053396,NA,NA,NA,NA
ran_pars,subj_id,sd__X_c,85.14224221245728,NA,NA,NA,NA
ran_pars,subj_id,cor__X_c.X_e:X_c,0.011528766388017453,NA,NA,NA,NA
ran_pars,subj_id,sd__X_e:X_c,81.17459208550507,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),79.3118684387006,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e,0.01632039800618323,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_c,0.38445920912737014,NA,NA,NA,NA
ran_pars,item_id,cor__(Intercept).X_e:X_c,0.04121436179741903,NA,NA,NA,NA
ran_pars,item_id,sd__X_e,55.34865518730321,NA,NA,NA,NA
ran_pars,item_id,cor__X_e.X_c,0.1406742082999369,NA,NA,NA,NA
ran_pars,item_id,cor__X_e.X_e:X_c,0.11506623132043559,NA,NA,NA,NA
ran_pars,item_id,sd__X_c,74.96203248090238,NA,NA,NA,NA
ran_pars,item_id,cor__X_c.X_e:X_c,0.17201202047210634,NA,NA,NA,NA
ran_pars,item_id,sd__X_e:X_c,59.307404873047425,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,201.6563569439757,NA,NA,NA,NA
