effect,group,term,estimate,std.error,statistic,df,p.value,warnings,nsubj,nitem,b0,b1,I0i_sd,S0s_sd,S1s_sd,scor,err_sd
fixed,NA,(Intercept),810.058985664081,13.753842160630528,58.89692321632291,87.72792023847667,2.545820086908113e-72,,100,25,800,0,100,80,40,0.2,200
fixed,NA,cat,-12.409609561627832,23.989686924055064,-0.5172893502492691,55.70036294769074,0.6070024379016603,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),73.1396908205897,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.10263762058030587,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,57.27910345784675,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),79.81765284339748,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,203.18558435122011,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
fixed,NA,(Intercept),816.2091409905487,15.265583958336723,53.467272737038456,81.90667682611253,1.8297179913734693e-65,,100,25,800,10,100,80,40,0.2,200
fixed,NA,cat,49.1006148228856,26.845950881245905,1.8289765573990677,52.273237140049,0.07311017417116042,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),75.60110750233729,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.17861385675040323,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,41.44147992681747,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),91.63632482356525,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.2292459685967,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
fixed,NA,(Intercept),794.6428878057446,16.34275398868972,48.623560530599114,84.07329401613993,2.484362316671978e-63,,100,25,800,20,100,80,40,0.2,200
fixed,NA,cat,30.53425841090479,28.350546747023042,1.0770253809694534,51.155754290657704,0.2865219016746535,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),82.89722348179582,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.3718507395459349,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,32.07655772585045,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),97.5794911140675,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.13525056292409,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
fixed,NA,(Intercept),782.6616935785477,15.705306322359782,49.83422020010303,94.20748883133095,1.6865440013396637e-69,,100,25,800,30,100,80,40,0.2,200
fixed,NA,cat,47.57489199709649,26.391972157655534,1.8026273941523698,52.99836068531766,0.07713402074359722,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),88.30106488858371,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.19836097461973937,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,46.6826842332142,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),89.64644312820836,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.45138209331307,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
fixed,NA,(Intercept),818.8900919168672,15.564977830503484,52.61106702715929,79.69550229720318,1.1759624977137747e-63,,100,25,800,40,100,80,40,0.2,200
fixed,NA,cat,33.23236225104826,27.57456219720423,1.205181863392111,51.935128518035505,0.23359590335233266,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),74.88124985325665,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.17141652249631995,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,39.45935135605761,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),94.40295399165926,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.47637229947256,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
fixed,NA,(Intercept),830.8610321895327,17.449604904824746,47.61489080820409,75.36736031747651,5.318068609956888e-58,,100,25,800,50,100,80,40,0.2,200
fixed,NA,cat,-9.192181468819285,31.503148365883543,-0.29178612124920167,52.08856887947474,0.7716091025359583,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),78.55799041944482,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.3222410883616113,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,46.20370761645995,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),108.3350075207094,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,200.56988379132704,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
fixed,NA,(Intercept),803.8051956475983,17.374182787864786,46.264345521276894,78.89570181663133,6.215266708760849e-59,,100,25,800,60,100,80,40,0.2,200
fixed,NA,cat,119.24094133616217,30.856166779835483,3.8644120051258657,51.637010705578376,3.125869814531171e-4,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),82.40792731860653,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.3816083329065769,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,40.36926746701423,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),106.30150322127588,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.39121036972745,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
fixed,NA,(Intercept),781.3080432662241,16.728961442630503,46.70391798950607,79.31227703377996,1.8350614588291671e-59,,100,25,800,70,100,80,40,0.2,200
fixed,NA,cat,87.25030129258647,29.624793531693346,2.945178375648219,51.47239546670033,0.004836222845740926,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),79.93679529730673,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.15585189407833613,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,37.13682497924743,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),101.89118280475205,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,203.9972531426017,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
fixed,NA,(Intercept),800.6218927815254,16.05542693300161,49.86612290800334,89.54643691808164,4.086419382863451e-67,,100,25,800,80,100,80,40,0.2,200
fixed,NA,cat,94.50935517537286,27.35377465960901,3.455075445763863,51.9718554567553,0.0011037982923832708,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),86.41322695841782,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.10939177962184372,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,39.76415956533582,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),93.52355349325502,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,202.12836153271147,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
fixed,NA,(Intercept),801.1968963627403,16.17302467556574,49.53908823086082,86.63557527905363,2.401298267384848e-65,,100,25,800,90,100,80,40,0.2,200
fixed,NA,cat,94.07232055424662,27.85228863059777,3.3775436482767636,51.767130563151404,0.001395224324565677,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),84.45408491374593,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.45621429095775723,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,38.44837016200725,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),95.4535358099815,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,200.17807819196037,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
fixed,NA,(Intercept),795.3327760012413,15.753103074509868,50.487372058662594,97.90075004073151,6.593081478380988e-72,,100,25,800,100,100,80,40,0.2,200
fixed,NA,cat,62.401099971722104,26.014737754686976,2.398682645204814,52.50857574226356,0.020039563178347902,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),91.37863513143131,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.1610915804339533,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,42.57669888563682,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),88.50772610278888,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.84187866360605,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
fixed,NA,(Intercept),766.908850096074,14.758074352511175,51.96537378642356,89.47677898176148,1.2538482339269226e-68,,100,25,800,0,100,80,40,0.2,200
fixed,NA,cat,5.577217179860477,25.323374266662135,0.22023989066902527,53.556005911392965,0.826521728566979,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),79.60233274978528,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.06331678095073942,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,48.50928265892425,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),85.5481759544431,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,200.81878173481653,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
fixed,NA,(Intercept),796.9743650323171,16.027537201688734,49.72531680964336,85.00967901698706,1.2745036058012608e-64,,100,25,800,10,100,80,40,0.2,200
fixed,NA,cat,-6.0786853496687545,27.896286242842212,-0.21790303184992799,52.62744919513751,0.828347367455699,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),82.24031987141848,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.0017839824729577172,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,46.058440745080134,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),95.16559784247825,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,201.46248250804308,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
fixed,NA,(Intercept),796.7570462746322,16.688013663687855,47.744270967870136,94.77057644866218,4.3227051203664035e-68,,100,25,800,20,100,80,40,0.2,200
fixed,NA,cat,15.107459823926469,27.734309553796155,0.5447209635640136,51.0498539693,0.5883172500525593,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),94.08386576150416,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.19963511568661294,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,30.501931304888537,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),95.41423367280125,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,198.67740593483163,NA,NA,NA,NA,,100,25,800,20,100,80,40,0.2,200
fixed,NA,(Intercept),794.839161975339,13.346034233631963,59.55620584070937,98.76737622985438,3.2871406759966545e-79,,100,25,800,30,100,80,40,0.2,200
fixed,NA,cat,63.14522674455403,21.940292631036815,2.8780485204298767,53.02110307988499,0.005755967500500866,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),78.55863714128165,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.04558108450527284,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,39.70931937748862,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),73.63911695645346,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.3444775732366,NA,NA,NA,NA,,100,25,800,30,100,80,40,0.2,200
fixed,NA,(Intercept),802.9496205618132,15.472272346863269,51.896037153495236,77.69676789620536,4.573312203305221e-62,,100,25,800,40,100,80,40,0.2,200
fixed,NA,cat,30.950463861511537,27.515930363887282,1.1248198208166655,51.07529328762153,0.2659237771051697,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),72.35997945694274,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.03492282078302933,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,30.00040427871944,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),94.69168607997665,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,196.2299295721495,NA,NA,NA,NA,,100,25,800,40,100,80,40,0.2,200
fixed,NA,(Intercept),789.7615858896146,14.886014222835996,53.05393197045823,87.31312287477132,3.2197379915749268e-68,,100,25,800,50,100,80,40,0.2,200
fixed,NA,cat,44.88547199860111,25.96526648405345,1.728673650477167,55.094798608075564,0.08946831928591312,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),78.48853864065421,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.0011909571664408653,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,58.51445439867933,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),87.1949198053323,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,199.12096406302123,NA,NA,NA,NA,,100,25,800,50,100,80,40,0.2,200
fixed,NA,(Intercept),812.4752444405154,16.53337107536926,49.14153566969218,75.44168308891865,4.82612025272977e-59,,100,25,800,60,100,80,40,0.2,200
fixed,NA,cat,46.08086634679229,29.845319953212705,1.5439896914836695,52.170194400005045,0.1286356293152357,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),74.5979148492591,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.393430961978034,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,44.64038826066306,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),102.41742390627994,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,198.9635107921026,NA,NA,NA,NA,,100,25,800,60,100,80,40,0.2,200
fixed,NA,(Intercept),780.0503762714553,16.279813006576948,47.91519263497189,88.89827905632691,2.7316653016951606e-65,,100,25,800,70,100,80,40,0.2,200
fixed,NA,cat,29.346035339593957,27.83403777743056,1.054321890853702,52.14233465022334,0.2965966424990873,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),87.03734309127576,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.3120300074120457,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,41.98139656334308,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),95.13367985329994,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,203.3344505574639,NA,NA,NA,NA,,100,25,800,70,100,80,40,0.2,200
fixed,NA,(Intercept),799.9613857488426,14.07755125143587,56.82532220703149,99.58730321112613,1.0450513363637257e-77,,100,25,800,80,100,80,40,0.2,200
fixed,NA,cat,31.59160328513203,22.855110248345948,1.3822555630602724,50.95051268103165,0.17292306013445244,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),83.16185985876167,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.28560155747548605,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,25.064047804701076,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),77.8241741756448,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,198.57565513791187,NA,NA,NA,NA,,100,25,800,80,100,80,40,0.2,200
fixed,NA,(Intercept),745.5367303386565,16.06090927175303,46.4193351524538,85.10142953019826,3.2347613995225203e-62,,100,25,800,90,100,80,40,0.2,200
fixed,NA,cat,107.67945138044828,27.789272177295352,3.874856840202729,51.49892270791948,3.031104018992471e-4,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),82.48527766269883,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.1409789558502187,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,35.47571401018785,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),95.35837138251254,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,200.62672391836904,NA,NA,NA,NA,,100,25,800,90,100,80,40,0.2,200
fixed,NA,(Intercept),795.5264296465219,16.96023112691205,46.905400268054215,85.36801870358585,1.0089175475421454e-62,,100,25,800,100,100,80,40,0.2,200
fixed,NA,cat,70.69037508511119,29.34736632346116,2.408746812438811,51.624627722229725,0.01961281039239037,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),87.21956778548507,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.18333607320844436,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,38.678509275428,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),100.87914251929617,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,200.56023936511784,NA,NA,NA,NA,,100,25,800,100,100,80,40,0.2,200
fixed,NA,(Intercept),805.9444776706712,17.84703118239598,45.158461899570256,73.71921483480878,1.8110802669250655e-55,,100,25,800,0,100,80,40,0.2,200
fixed,NA,cat,-1.9420975890321879,32.393396519455116,-0.059953502803134134,51.80214199661316,0.9524233674902436,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),78.14291683768347,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,-0.028526783440425797,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,44.17993666912339,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),111.64053509558552,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,202.25214433769375,NA,NA,NA,NA,,100,25,800,0,100,80,40,0.2,200
fixed,NA,(Intercept),793.9094123969338,16.617415063489748,47.775746670806726,86.11602119939784,9.176108219924287e-64,,100,25,800,10,100,80,40,0.2,200
fixed,NA,cat,-4.950068776527117,28.732241382758218,-0.17228272276375828,52.08601698329425,0.8638829463612594,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__(Intercept),86.1892011270786,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,cor__(Intercept).cat,0.3260562023409525,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,subj_id,sd__cat,42.58039096227741,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,item_id,sd__(Intercept),98.48235555581071,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
ran_pars,Residual,sd__Observation,198.45921957178095,NA,NA,NA,NA,,100,25,800,10,100,80,40,0.2,200
fixed,NA,(Intercept),789.7368830334075,16.838439131368368,46.90083664359393,71.16133346157852,2.948980993584866e-55,,100,25,800,20,100,80,40,0.2,200
fixed,NA,cat,27.41162380562935,31.07668535735874,0.8820639489191363,53.102543969620974,0.3817176315140335,,100,25,800,20,100,80,40,0.2,200
