effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,n_outgroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma
fixed,NA,(Intercept),796.8993150263187,7.937762493272982,100.39344408473637,19.937638775753534,1.9294268035391304e-28,Model failed to converge with 1 negative eigenvalue: -1.1e+01,50,10,10,800,50,20,20,40,0.2,200
fixed,NA,X_i,11.704044914402623,18.162134098478546,0.6444201353729173,24.139209092137232,0.5253799859895849,Model failed to converge with 1 negative eigenvalue: -1.1e+01,50,10,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,sd__(Intercept),0,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -1.1e+01,50,10,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,NaN,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -1.1e+01,50,10,10,800,50,20,20,40,0.2,200
ran_pars,subj_id,sd__X_i,62.382217583487886,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -1.1e+01,50,10,10,800,50,20,20,40,0.2,200
ran_pars,item_id,sd__(Intercept),20.480413003608664,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -1.1e+01,50,10,10,800,50,20,20,40,0.2,200
ran_pars,Residual,sd__Observation,205.0261143359359,NA,NA,NA,NA,Model failed to converge with 1 negative eigenvalue: -1.1e+01,50,10,10,800,50,20,20,40,0.2,200
fixed,NA,(Intercept),815.628977571271,8.561985519457895,95.26166281380405,49.99955105096853,3.315341319804617e-58,,50,10,10,800,50,20,40,40,0.2,200
fixed,NA,X_i,47.48275524133331,15.295687279680356,3.104323092719871,50.000828727600485,0.003136804728146621,,50,10,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,sd__(Intercept),38.16932503799937,NA,NA,NA,NA,,50,10,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.8562642860897828,NA,NA,NA,NA,,50,10,10,800,50,20,40,40,0.2,200
ran_pars,subj_id,sd__X_i,53.51609810359127,NA,NA,NA,NA,,50,10,10,800,50,20,40,40,0.2,200
