effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),792.2400476034479,15.547455433264586,50.95625139457929,105.44039066381083,4.2880438928111794e-76
fixed,NA,cat,66.03577421354666,24.874863237922273,2.654719086570642,52.53859291299955,0.010480709240167373
ran_pars,subj_id,sd__(Intercept),95.54931366022784,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.3557369718307519,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,41.294300993605624,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),84.42127601865462,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,198.59028359416882,NA,NA,NA,NA
fixed,NA,(Intercept),799.6723212520097,17.03448533274163,46.9443194573643,107.77681318539041,1.4094495427086778e-73
fixed,NA,cat,28.387724630481355,26.969044379507004,1.0526040237470322,52.083044688759195,0.2973816406930671
ran_pars,subj_id,sd__(Intercept),106.08426396843015,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,-0.2690828638508073,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,40.974913065651734,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),92.09442265250956,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.0915572952172,NA,NA,NA,NA
fixed,NA,(Intercept),805.0022903185479,13.940150306309635,57.74703088776491,127.30759480091388,3.522189562947708e-93
fixed,NA,cat,87.76091196459522,19.739700070042574,4.445909089458923,52.85489071364057,4.522820285986893e-5
ran_pars,subj_id,sd__(Intercept),100.09550082863717,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.09379523203968562,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,36.20630891258209,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),65.62063567042023,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,200.19167297041997,NA,NA,NA,NA
fixed,NA,(Intercept),782.3903374524616,14.290038187275774,54.750752041315224,129.25617275593794,2.6972250718919005e-91
fixed,NA,cat,28.25153140462322,20.062126317574066,1.4082022492239707,53.975986139971674,0.16480519618503725
ran_pars,subj_id,sd__(Intercept),103.96357629962445,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).cat,0.13508433046053592,NA,NA,NA,NA
ran_pars,subj_id,sd__cat,42.43248129379774,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),66.29663322712935,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,202.68285421631535,NA,NA,NA,NA
fixed,NA,(Intercept),814.5492708434664,16.545044193295123,49.23222091927457,118.1465295128291,1.3971022188173722e-80
