"parameter","value","estimate","term","std.error","statistic","df","p.value"
"beta_0",800,809.648556459624,"(Intercept)",16.7941216816886,48.210235212385,108.312336549494,5.10082098834547e-75
"beta_1",50,40.068118514728,"X_i",26.444098611199,1.51520076762077,52.2670969812942,0.135746282042663
"omega_0",80,89.2549999811419,NA,NA,NA,NA,NA
"tau_0",100,107.171898319639,NA,NA,NA,NA,NA
"tau_1",40,55.274669333214,NA,NA,NA,NA,NA
"rho",0.2,0.203895380191592,NA,NA,NA,NA,NA
"sigma",200,198.182551354416,NA,NA,NA,NA,NA
"beta_0",800,819.208395274942,"(Intercept)",12.5002565674258,65.535326483594,119.488785745461,1.64596244103665e-95
"beta_1",50,58.5333907741704,"X_i",18.3663657693734,3.18698818858203,53.4257933124731,0.00240266105245694
"omega_0",80,59.6978748989478,NA,NA,NA,NA,NA
"tau_0",100,87.6617858934694,NA,NA,NA,NA,NA
"tau_1",40,44.3635918404046,NA,NA,NA,NA,NA
"rho",0.2,0.349414853189838,NA,NA,NA,NA,NA
"sigma",200,201.665587571853,NA,NA,NA,NA,NA
"beta_0",800,783.814180949183,"(Intercept)",16.0155759834566,48.9407425470573,119.889099180222,4.35494792953585e-81
"beta_1",50,11.0811284629055,"X_i",23.4595175051767,0.47235108140908,49.8590683530499,0.638737225043555
"omega_0",80,79.5780371539538,NA,NA,NA,NA,NA
"tau_0",100,110.327601657543,NA,NA,NA,NA,NA
"tau_1",40,33.5282757512072,NA,NA,NA,NA,NA
"rho",0.2,0.456303521312898,NA,NA,NA,NA,NA
"sigma",200,201.539044124013,NA,NA,NA,NA,NA
"beta_0",800,796.99635669224,"(Intercept)",13.1306738610004,60.6972928525328,110.970639201535,5.87709548650835e-87
"beta_1",50,27.8889856154784,"X_i",20.0259073731982,1.39264529170867,50.5053624555957,0.169827971960687
"omega_0",80,66.7468768373712,NA,NA,NA,NA,NA
"tau_0",100,86.5945019035492,NA,NA,NA,NA,NA
"tau_1",40,33.6495057036516,NA,NA,NA,NA,NA
"rho",0.2,0.690911525670387,NA,NA,NA,NA,NA
"sigma",200,204.02949656683,NA,NA,NA,NA,NA
"beta_0",800,786.17499055968,"(Intercept)",14.6836791531402,53.5407361030188,120.896612279916,4.68300423334246e-86
